Target_Role,Job Title,Company,Job URL,Required_Degree,Extracted_Skills
QA Engineer,,Extracted,https://rooster.jobs/jobs/515383,BSc in Software Engineering / Computer Science,"['Selenium', 'Automation', 'CI/CD', 'Cypress', 'Security', 'Agile', 'Manual Testing', 'Postman', 'QA', 'SQL']"
QA Engineer,,Extracted,https://rooster.jobs/jobs/512003,BSc in Software Engineering / Computer Science,"['Automation', 'Excel', 'QA']"
QA Engineer,,Extracted,https://rooster.jobs/jobs/445440,BSc in Software Engineering / Computer Science,['Security']
QA Engineer,,Extracted,https://rooster.jobs/jobs/516629,BSc in Software Engineering / Computer Science,"['Selenium', 'Automation', 'Jira', 'Excel', 'Agile', 'Appium', 'Java', 'QA', 'SQL']"
QA Engineer,,Extracted,https://rooster.jobs/jobs/510011,BSc in Software Engineering / Computer Science,"['Selenium', 'Automation', 'Jira', 'Excel', 'Agile', 'Appium', 'Linux', 'Java', 'QA', 'SQL']"
QA Engineer,,Extracted,https://rooster.jobs/jobs/516632,BSc in Software Engineering / Computer Science,"['Selenium', 'Automation', 'Jira', 'Excel', 'Agile', 'Appium', 'Java', 'QA', 'SQL']"
QA Engineer,,Extracted,https://rooster.jobs/jobs/445449,BSc in Software Engineering / Computer Science,"['Security', 'Automation', 'Excel']"
QA Engineer,,Extracted,https://rooster.jobs/jobs/515933,BSc in Software Engineering / Computer Science,"['Selenium', 'AWS', 'Python', 'JMeter', 'Automation', 'Jira', 'Scala', 'Java', 'QA', 'Cypress', 'Excel', 'JavaScript', 'Scrum', 'SQL', 'CI/CD', 'Security', 'Azure', 'Agile', 'Postman']"
QA Engineer,,Extracted,https://rooster.jobs/jobs/516821,BSc in Software Engineering / Computer Science,"['Docker', 'Airflow', 'Automation', 'CI/CD', 'Kubernetes', 'Azure', 'Excel', 'AWS', 'GCP', 'Spark', 'ETL', 'Agile', 'Data Warehousing', 'Python', 'Scrum', 'GitHub', 'QA', 'SQL']"
QA Engineer,,Extracted,https://rooster.jobs/jobs/513813,BSc in Software Engineering / Computer Science,['Excel']
QA Engineer,,Extracted,https://rooster.jobs/jobs/516484,BSc in Software Engineering / Computer Science,"['Selenium', 'Automation', 'Cypress', 'Jira', 'Agile', 'JavaScript', 'Manual Testing', 'Postman', 'Python', 'Java', 'QA', 'Scrum']"
QA Engineer,,Extracted,https://rooster.jobs/jobs/516883,BSc in Software Engineering / Computer Science,"['Selenium', 'Automation', 'Jira', 'Git', 'JavaScript', 'Manual Testing', 'Postman', 'Python', 'Java', 'QA']"
QA Engineer,,Extracted,https://rooster.jobs/jobs/513390,BSc in Software Engineering / Computer Science,['Excel']
Data Scientist,,Extracted,https://rooster.jobs/jobs/513196,MSc in Data Science / AI,"['Machine Learning', 'Data Science', 'Automation', 'NLP', 'Tableau', 'Excel', 'Python', 'Scala', 'SQL']"
Data Scientist,,Extracted,https://rooster.jobs/jobs/514190,MSc in Data Science / AI,"['Airflow', 'Snowflake', 'CI/CD', 'Automation', 'Security', 'Azure', 'Excel', 'AWS', 'Git', 'Agile', 'Scrum', 'ETL', 'Data Warehousing', 'Python', 'Scala', 'SQL']"
Data Scientist,,Extracted,https://rooster.jobs/jobs/442514,BSc in Data Science / Computer Science,['Excel']
Data Scientist,,Extracted,https://rooster.jobs/jobs/442515,BSc in Data Science / Computer Science,['Excel']
Software Engineer,,Extracted,https://rooster.jobs/jobs/443690,BSc in Software Engineering / Computer Science,"['Docker', 'NumPy', 'Kubernetes', 'Azure', 'Excel', 'AWS', 'Git', 'NoSQL', 'GCP', 'JavaScript', 'Python', 'Scala', 'Pandas', 'Java', 'SQL']"
Software Engineer,,Extracted,https://rooster.jobs/jobs/509154,BSc in Software Engineering / Computer Science,"['Microservices', 'Angular', 'Excel', 'Git', 'MySQL', 'Scala', 'SQL']"
Software Engineer,,Extracted,https://rooster.jobs/jobs/516868,BSc in Software Engineering / Computer Science,"['Docker', 'Microservices', 'CI/CD', 'Kubernetes', 'Excel', 'AWS', 'NoSQL', 'GCP', 'Scala', 'Go', 'Java', 'GitHub', 'SQL']"
Software Engineer,,Extracted,https://rooster.jobs/jobs/515973,BSc in Software Engineering / Computer Science,"['Docker', 'Security', 'Git', 'Python', 'Scala']"
Software Engineer,,Extracted,https://rooster.jobs/jobs/512028,BSc in Software Engineering / Computer Science,"['Microservices', 'Terraform', 'AWS', 'React', 'MySQL', 'Python', 'GraphQL', 'Docker', 'Angular', 'MongoDB', 'GCP', 'Scala', 'Java', 'HTML', 'Jenkins', 'Google Cloud', 'Kubernetes', 'Excel', 'Git', 'JavaScript', 'CI/CD', 'Vue', 'Security', 'Azure', 'GitLab', 'CSS', 'PostgreSQL']"
Software Engineer,,Extracted,https://rooster.jobs/jobs/509286,BSc in Software Engineering / Computer Science,"['Docker', 'Node.js', 'Azure', 'AWS', 'MongoDB', 'NoSQL', 'Git', 'Agile', 'JavaScript', 'MySQL', 'Python', 'Bitbucket', 'TypeScript', 'Java', 'GitHub', 'PostgreSQL', 'Scrum']"
Software Engineer,,Extracted,https://rooster.jobs/jobs/508375,BSc in Software Engineering / Computer Science,"['Node.js', 'Excel', 'Git', 'React', 'MongoDB', 'GitHub', 'JavaScript', 'Scala', 'Java', 'HTML']"
Software Engineer,,Extracted,https://rooster.jobs/jobs/446914,BSc in Software Engineering / Computer Science,"['Excel', 'Golang', 'Agile', 'JavaScript', 'Scrum', 'Python', 'Java', 'SQL']"
Software Engineer,,Extracted,https://rooster.jobs/jobs/446444,BSc in Software Engineering / Computer Science,"['Data Science', 'AWS', 'System Design', 'Python', 'Swift']"
Software Engineer,,Extracted,https://rooster.jobs/jobs/516725,BSc in Software Engineering / Computer Science,"['Node.js', 'React', 'Golang', 'Python', 'React Native', 'Flutter']"
